tract,City,Community_Name,Detailed_Name,call_counts,crime_counts,shelter_counts,Land.Area,lat,long,Shape.Area,Shape.Length,totUnshelt2017,totShelt2017,totHomeless2017,totUnshelt2016,totShelt2016,totHomeless2016
242700,Los Angeles,Watts,Watts NC,2,2,0,0.39,33.9363535,-118.2426486,9.89965E-05,0.041878537,10.19,0,10.19,44,0,44
243000,Los Angeles,Watts,Watts NC,2,0,0,0.28,33.9395183,-118.2336919,6.99538E-05,0.03353884,22.343,0,22.343,27,0,27
243100,Los Angeles,Watts,Watts NC,1,0,0,0.23,33.9327963,-118.2350934,5.91891E-05,0.032197763,34.19,0,34.19,33,0,33
261101,Los Angeles,Bel Air-Beverly Crest,Bel Air-Beverly Crest NC,0,0,0,2.52,34.1171681,-118.4005365,0.000653489,0.19017241,0,0,0,0,0,0
261102,Los Angeles,Bel Air-Beverly Crest,Bel Air-Beverly Crest NC,0,0,0,3.07,34.1131952,-118.4248511,0.000775812,0.165730871,5.903,0,5.903,0,0,0
261200,Los Angeles,Bel Air-Beverly Crest,Bel Air-Beverly Crest NC,0,0,0,2.81,34.1132765,-118.4418058,0.000741806,0.176798542,2.095,0,2.095,0,0,0
262100,Los Angeles,Bel Air-Beverly Crest,Bel Air-Beverly Crest NC,0,0,0,3.38,34.1085369,-118.4570806,0.000856833,0.209218292,0,0,0,0,0,0
262200,Los Angeles,Bel Air-Beverly Crest,Bel Air-Beverly Crest NC,2,0,0,3.31,34.1017214,-118.4698011,0.000836671,0.151255223,0,0,0,0,0,0
262301,Los Angeles,Brentwood,Brentwood Community Council,0,0,0,5.04,34.0918293,-118.4912444,0.001276161,0.218964179,3.399,0,3.399,2,0,2
262302,Los Angeles,Brentwood,Brentwood Community Council,0,0,0,1.18,34.0751025,-118.4768353,0.000298627,0.094184541,0,0,0,0,0,0
262303,Los Angeles,Brentwood,Brentwood Community Council,0,0,0,1.01,34.0660696,-118.4868492,0.000255311,0.086756627,1.808,0,1.808,0,0,0
262400,Los Angeles,Brentwood,Brentwood Community Council,0,0,0,4.35,34.0918093,-118.508627,0.001100822,0.218141904,0,0,0,0,0,0
262501,Los Angeles,Pacific Palisades,Pacific Palisades Community Council,0,0,0,0.63,34.0503509,-118.5202383,0.000159974,0.059967318,0,0,0,1,0,1
262601,Los Angeles,Pacific Palisades,Pacific Palisades Community Council,0,0,0,1.43,34.0737773,-118.5555249,0.000360661,0.10618109,0,0,0,2,0,2
262604,Los Angeles,Pacific Palisades,Pacific Palisades Community Council,0,0,0,2.19,34.0511084,-118.5485779,0.000551669,0.158893046,26.439,0,26.439,33,0,33
262704,Los Angeles,Pacific Palisades,Pacific Palisades Community Council,0,0,0,0.75,34.042438,-118.5401653,0.000181135,0.076737573,42.831,0,42.831,67,0,67
262706,Los Angeles,Pacific Palisades,Pacific Palisades Community Council,0,0,0,0.89,34.0350108,-118.5245644,0.000208584,0.063492683,14.798,0,14.798,44,0,44
