Area.Name,Victim.Age,Victim.Sex,Victim.Descent,latitude,longitude,CRIME DESCRIPTION SHORT,GENERAL DESCRIPTION,Hour,Weekday,Month,DayPartition
NORTH HOLLYWOOD,24,M,H,34.1339,-118.3744,AGGRAVATED ASSAULT,ASSAULT,15,7,8,3
NORTHEAST,27,F,W,34.0831,-118.2509,AGGRAVATED ASSAULT,ASSAULT,22,1,8,4
CENTRAL,55,M,A,34.0632,-118.2349,AGGRAVATED ASSAULT,ASSAULT,8,1,8,2
WEST LA,28,M,O,34.0477,-118.448,PETTY THEFT,THEFT,22,1,8,4
NORTH HOLLYWOOD,40,M,H,34.2085,-118.3878,AGGRAVATED ASSAULT,ASSAULT,2,1,8,1
CENTRAL,41,M,W,34.0442,-118.2439,PETTY THEFT,THEFT,0,2,8,1
HARBOR,29,F,W,33.7297,-118.2885,"RAPE, FORCIBLE",SEXUAL ASSAULT,21,2,8,4
HOLLYWOOD,27,M,H,34.1032,-118.3387,ROBBERY,THEFT,7,2,8,2
CENTRAL,37,M,B,34.0428,-118.2461,SIMPLE ASSAULT,ASSAULT,10,3,8,2
CENTRAL,49,F,W,34.0511,-118.2336,SIMPLE ASSAULT,ASSAULT,21,3,8,4
SOUTHWEST,45,M,A,34.029,-118.284,SIMPLE ASSAULT,ASSAULT,3,3,8,1
HARBOR,54,F,W,33.78,-118.2624,SIMPLE ASSAULT,ASSAULT,11,3,8,3
TOPANGA,29,M,H,34.1958,-118.5666,ROBBERY,THEFT,21,3,8,4
CENTRAL,43,M,W,34.0471,-118.2491,ATTEMPTED ROBBERY,THEFT,13,4,8,3
CENTRAL,63,M,B,34.0453,-118.2443,CRIMINAL HOMICIDE,CRIMINAL HOMICIDE,15,4,8,3
CENTRAL,50,M,B,34.0437,-118.2455,AGGRAVATED ASSAULT,ASSAULT,22,4,8,4
CENTRAL,41,M,W,34.0446,-118.245,ROBBERY,THEFT,24,4,8,4
CENTRAL,49,F,B,34.0467,-118.2556,ROBBERY,THEFT,11,4,8,3
CENTRAL,44,M,B,34.0423,-118.2452,ROBBERY,THEFT,20,4,8,4
CENTRAL,42,F,H,34.0439,-118.2479,SIMPLE ASSAULT,ASSAULT,20,4,8,4
RAMPART,24,M,H,34.0439,-118.2752,SIMPLE ASSAULT,ASSAULT,11,4,8,3
HOLLYWOOD,37,M,W,34.0981,-118.3092,ROBBERY,THEFT,22,4,8,4
WEST VALLEY,21,M,H,34.1903,-118.5317,VANDALISM,VANDALISM,19,4,8,4
PACIFIC,43,M,W,33.9924,-118.4495,PETTY THEFT,THEFT,1,4,8,1
NORTH HOLLYWOOD,48,F,H,34.2058,-118.3921,BRANDISH WEAPON,OTHER MISCELLANEOUS CRIME,7,4,8,2
NORTH HOLLYWOOD,28,F,B,34.1504,-118.3734,SIMPLE ASSAULT,ASSAULT,13,4,8,3
FOOTHILL,52,F,W,34.2166,-118.3919,ROBBERY,THEFT,12,4,8,3
MISSION,25,F,W,34.2267,-118.4704,ROBBERY,THEFT,17,4,8,3
OLYMPIC,34,M,B,34.0652,-118.2857,SIMPLE ASSAULT,ASSAULT,14,4,8,3
OLYMPIC,32,F,K,34.0728,-118.2878,OTHER ASSAULT,ASSAULT,18,4,8,4
NORTH HOLLYWOOD,29,F,H,34.1922,-118.3987,"RAPE, FORCIBLE",SEXUAL ASSAULT,0,5,9,1
CENTRAL,60,M,W,34.0407,-118.2468,AGGRAVATED ASSAULT,ASSAULT,2,5,9,1
RAMPART,26,F,W,34.0624,-118.2813,SIMPLE ASSAULT,ASSAULT,8,5,9,2
RAMPART,38,M,B,34.0628,-118.2811,VIOLATION OF COURT ORDER,OTHER MISCELLANEOUS CRIME,8,5,9,2
HARBOR,52,M,W,33.8315,-118.3038,AGGRAVATED ASSAULT,ASSAULT,20,5,9,4
VAN NUYS,21,M,W,34.1649,-118.4137,PETTY THEFT,THEFT,19,5,9,4
77TH STREET,56,F,B,33.989,-118.3352,AGGRAVATED ASSAULT,ASSAULT,23,5,9,4
PACIFIC,53,M,W,34.0001,-118.4653,ROBBERY,THEFT,6,5,9,2
