"","tract","X","Year","City","LACity","Community_Name","Detailed_Name","SPA","SD","CD","ca_ssd","ca_sad","us_cd","DemogSurvCt","YouthSurvCt","SheltHmisCt","ShelterCountAny","StreetCountAny","totStreetSingAdult","totStreetFamHH","totStreetFamMem","totCars","totVans","totCampers","totTents","totEncamp","totCarPeople","totVanPeople","totCamperPeople","totTentPeople","totEncampPeople","FamCarHH","FamVanHH","FamCamperHH","FamTentHH","FamEncampHH","FamCarPeople","FamVanPeople","FamCamperPeople","FamTentPeople","FamEncampPeople","IndCarPeople","IndVanPeople","IndCamperPeople","IndTentPeople","IndEncampPeople","totYouthFamHH","totESAdultSingAdult","totESAdultFamHH","totESAdultFamMem","totESYouthSingYouth","totESYouthFamHH","totESYouthFamMem","totESYouthUnaccYouth","totTHAdultSingAdult","totTHAdultFamHH","totTHAdultFamMem","totTHYouthSingYouth","totTHYouthFamHH","totTHYouthFamMem","totTHYouthUnaccYouth","totSHAdultSingAdult","totSHAdultFamHH","totSHAdultFamMem","totSHYouthSingYouth","totSHYouthFamHH","totSHYouthFamMem","totSHYouthUnaccYouth","totUnsheltPeople","totESPeople","totTHPeople","totSHPeople","totSheltPeople","totPeople","call_counts","crime_counts","shelter_counts","Area.in.square.miles...Land.area","density","lat","long","Population","Housing.units","Total.Square.Miles","Water.Area","Land.Area","Population.Density","Housing.Density"
"817",242100,817,2017,"Los Angeles",1,"Watts","Watts NC",6,2,15,35,64,44,0,0,0,0,1,7,0,0,2,0,1,0,0,3.181,0,2.095,0,0,0.102,0,0.032,0,0,0.303,0,0.111,0,0,2.878,0,1.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.276,0,0,0,0,12.276,0,0,0,0.11,111.6,33.945396,-118.2336329,"2714","708",0.11,0,0.11,"25,488.90","6,649.30"
"818",242200,818,2017,"Los Angeles",1,"Watts","Watts NC",6,2,15,35,64,44,10,0,0,0,1,4,0,0,0,2,1,0,0,0,3.616,2.095,0,0,0,0.043,0.032,0,0,0,0.15,0.111,0,0,0,3.466,1.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.711,0,0,0,0,9.711,0,0,0,0.31,31.32580645,33.9486636,-118.2391843,"6554","1588",0.31,0,0.31,"20,873.20","5,057.50"
"819",242300,819,2017,"Los Angeles",1,"Watts","Watts NC",6,2,15,35,35,44,0,0,0,0,1,3,0,0,1,0,3,1,0,1.591,0,6.285,1.703,0,0.051,0,0.095,0.006,0,0.151,0,0.334,0.021,0,1.439,0,5.951,1.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.579,0,0,0,0,12.579,3,1,0,0.24,52.4125,33.948506,-118.2461145,"4586","1162",0.24,0,0.24,"18,852.30","4,776.80"
"820",242600,820,2017,"Los Angeles",1,"Watts","Watts NC",6,2,15,35,64,44,12,0,0,0,1,61,0,0,3,2,4,0,10,4.772,3.616,8.379,0,19.255,0.154,0.043,0.127,0,0.056,0.454,0.15,0.445,0,0.206,4.318,3.466,7.935,0,19.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.022,0,0,0,0,97.022,1,0,0,0.18,539.0111111,33.932376,-118.2502423,"4409","1254",0.18,0,0.18,"23,990.30","6,823.30"
"821",242700,821,2017,"Los Angeles",1,"Watts","Watts NC",6,2,15,35,64,44,0,2,0,0,1,6,0,0,0,0,2,0,0,0,0,4.19,0,0,0,0,0.063,0,0,0,0,0.222,0,0,0,0,3.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.19,0,0,0,0,10.19,2,2,0,0.39,26.12820513,33.9363535,-118.2426486,"5273","1235",0.39,0,0.39,"13,452.30","3,150.70"
"822",243000,822,2017,"Los Angeles",1,"Watts","Watts NC",6,2,15,35,64,44,0,0,0,0,1,7,0,0,1,2,3,0,2,1.591,3.616,6.285,0,3.851,0.051,0.043,0.095,0,0.011,0.151,0.15,0.334,0,0.041,1.439,3.466,5.951,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.343,0,0,0,0,22.343,2,0,0,0.28,79.79642857,33.9395183,-118.2336919,"6769","1395",0.28,0,0.28,"24,439.40","5,036.60"
"823",243100,823,2017,"Los Angeles",1,"Watts","Watts NC",6,2,15,35,64,44,0,0,0,0,1,30,0,0,0,0,2,0,0,0,0,4.19,0,0,0,0,0.063,0,0,0,0,0.222,0,0,0,0,3.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.19,0,0,0,0,34.19,1,0,0,0.23,148.6521739,33.9327963,-118.2350934,"5350","1403",0.23,0,0.23,"22,827.20","5,986.30"
"824",261101,824,2017,"Los Angeles",1,"Bel Air-Beverly Crest","Bel Air-Beverly Crest NC",5,3,4,26,50,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,34.1171681,-118.4005365,"3499","1619",2.58,0.06,2.52,"1,386.40","641.5"
"825",261102,825,2017,"Los Angeles",1,"Bel Air-Beverly Crest","Bel Air-Beverly Crest NC",5,3,5,26,50,33,0,0,0,0,1,2,0,0,0,1,1,0,0,0,1.808,2.095,0,0,0,0.022,0.032,0,0,0,0.075,0.111,0,0,0,1.733,1.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.903,0,0,0,0,5.903,0,0,0,3.07,1.922801303,34.1131952,-118.4248511,"4362","1889",3.07,0,3.07,"1,422.90","616.2"
"826",261200,826,2017,"Los Angeles",1,"Bel Air-Beverly Crest","Bel Air-Beverly Crest NC",5,3,5,26,50,33,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.095,0,0,0,0,0.032,0,0,0,0,0.111,0,0,0,0,1.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.095,0,0,0,0,2.095,0,0,0,2.81,0.745551601,34.1132765,-118.4418058,"4341","1888",2.93,0.12,2.81,"1,546.80","672.7"
